time,ControlsOut.TS_current,CellVoltages.MinVoltage
774.4739,21.021002,
774.4769,21.207,
774.4809,21.089,
774.4859,21.257002,
774.4889,21.214,
774.4929,21.136002,
774.4966,,3.3656
774.4969,21.136002,
774.5019,21.529001,
774.5059,21.465,
774.5089,21.674002,
774.5139,21.899,
774.5169,22.342001,
774.5209,22.78,
774.5249,22.914001,
774.5289,22.914001,
774.5339,23.227001,
774.5369,23.386002,
774.5419,23.451,
774.5459,23.499,
774.5489,23.499,
774.5539,23.448002,
774.5569,23.488,
774.5629,23.490002,
774.5659,23.638,
774.5689,23.437,
774.5739,23.437,
774.5769,23.315,
774.5819,23.664001,
774.5859,23.493002,
774.5889,23.717001,
774.5929,23.626001,
774.5979,23.489,
774.6019,23.544,
774.6059,23.677002,
774.6089,23.759,
774.6139,23.692001,
774.6179,23.692001,
774.6219,23.472002,
774.6259,23.591002,
774.6289,23.806002,
774.6339,23.729002,
774.6369,23.908,
774.6419,23.908,
774.6459,24.131,
774.6489,24.131,
774.6529,24.048,
774.6569,24.023,
774.6609,24.121,
774.6649,24.131,
774.6689,24.131,
774.6739,24.131,
774.6769,24.304,
774.6819,24.556002,
774.6849,24.756,
774.6889,24.756,
774.6929,24.559002,
774.6956,,3.3485
774.6969,24.559002,
774.7019,24.884,
774.7049,24.868002,
774.7089,24.974,
774.7139,24.897001,
774.7179,24.910002,
774.7209,24.828001,
774.7259,24.828001,
774.7289,24.829,
774.7339,24.679,
774.7379,24.723001,
774.7419,24.959002,
774.7459,25.11,
774.7489,25.143002,
774.7529,25.059002,
774.7579,25.03,
774.7629,25.415,
774.7659,25.243002,
774.7689,25.398,
774.7729,25.183,
774.7779,25.43,
774.7819,25.564001,
774.7859,25.401001,
774.7889,25.560001,
774.7939,25.608002,
774.7979,25.565,
774.8019,25.573002,
774.8059,25.573002,
774.8089,25.663002,
774.8139,25.531002,
774.8169,25.567001,
774.8209,25.853,
774.8249,25.7,
774.8289,25.488,
774.8329,25.598001,
774.8369,25.740002,
774.8409,25.379002,
774.8449,25.379002,
774.8489,25.565,
774.8539,25.822,
774.8569,25.786001,
774.8629,25.62,
774.8649,25.639002,
774.8689,25.639002,
774.8739,25.639002,
774.8779,26.108002,
774.8819,26.088001,
774.8859,25.967001,
774.8889,26.213001,
774.8939,26.085001,
774.8969,26.085001,
774.8976,,3.3406
774.9019,26.287,
774.9059,26.092001,
774.9089,26.356,
774.9139,26.356,
774.9179,26.712002,
774.9209,26.543001,
774.9259,26.614,
774.9289,26.670002,
774.9339,26.750002,
774.9369,26.868002,
774.9419,26.765001,
774.9459,26.866001,
774.9489,26.866001,
774.9539,26.606,
774.9579,26.354002,
774.9609,26.807001,
774.9649,26.782001,
774.9689,26.872002,
774.9729,26.918001,
774.9769,27.015001,
774.9809,27.117,
774.9859,27.362001,
774.9889,27.362001,
774.9939,27.535002,
774.9979,27.325,
775.0009,27.676,
775.0059,27.595001,
775.0089,27.508001,
775.0139,27.710001,
775.0169,27.798002,
775.0219,27.801,
775.0259,28.134,
775.0289,28.134,
775.0339,28.035002,
775.0379,27.979002,
775.0409,27.907001,
775.0459,28.032001,
775.0489,28.170002,
775.0539,28.170002,
775.0579,28.141,
775.0629,28.039001,
775.0659,28.084002,
775.0689,28.084002,
775.0739,28.084002,
775.0769,28.078001,
775.0809,28.331001,
775.0859,28.183,
775.0889,28.317001,
775.0929,28.545002,
775.0957,,3.3347
775.0969,28.545002,
775.1009,28.213001,
775.1059,28.477001,
775.1089,28.477001,
775.1139,28.299002,
775.1179,28.464,
775.1209,28.748001,
775.1259,28.549002,
775.1289,28.571001,
775.1329,28.854002,
775.1369,28.930002,
775.1409,28.899002,
775.1449,28.877,
775.1489,28.776001,
775.1529,28.86,
775.1569,28.729002,
775.1619,28.878002,
775.1659,28.877,
775.1689,28.877,
775.1729,28.867,
775.1779,28.94,
775.1809,28.94,
775.1859,29.236002,
775.1889,29.206001,
775.1929,29.406002,
775.1979,29.534002,
775.2019,29.396002,
775.2059,29.396002,
775.2089,29.712002,
775.2139,29.848001,
775.2179,29.697,
775.2209,29.69,
775.2259,29.949001,
775.2289,29.838001,
775.2329,29.735,
775.2369,29.741001,
775.2409,29.879002,
775.2459,29.842001,
775.2489,29.901001,
775.2529,30.094002,
775.2569,30.371002,
775.2619,30.187002,
775.2649,29.948002,
775.2689,29.948002,
775.2739,29.948002,
775.2769,30.130001,
775.2819,30.070002,
775.2859,30.267002,
775.2889,30.255001,
775.2929,30.323002,
775.2958,,3.328
775.2979,30.323002,
775.3019,30.323002,
775.3059,30.492,
775.3099,30.421001,
775.3139,30.311,
775.3169,30.19,
775.3219,30.347002,
775.3259,30.753002,
775.3289,30.693,
775.3339,30.693,
775.3379,30.717001,
775.3409,30.791002,
775.3459,30.880001,
775.3489,30.748001,
775.3539,31.008001,
775.3579,31.204002,
775.3629,30.958002,
775.3659,31.492,
775.3689,31.227001,
775.3739,31.424002,
775.3779,31.178001,
775.3819,31.090002,
775.3859,31.267002,
775.3887,31.595001,
775.3927,31.711002,
775.3977,31.711002,
775.4007,31.566002,
775.4057,31.729002,
775.4087,31.571001,
775.4137,31.281002,
775.4167,31.277002,
775.4217,31.395002,
775.4257,31.592001,
775.4287,31.479002,
775.4337,31.667002,
775.4377,31.635002,
775.4407,31.667002,
775.4457,31.646002,
775.4487,31.522001,
775.4537,31.522001,
775.4567,31.294,
775.4627,31.294,
775.4647,31.001001,
775.4687,31.001001,
775.4737,31.001001,
775.4777,30.325,
775.4807,29.930002,
775.4857,29.736002,
775.4887,29.421001,
775.4927,28.929,
775.4955,,3.3217
775.4967,28.929,
775.5017,27.565,
775.5047,26.399002,
775.5087,25.6,
775.5137,24.549002,
775.5177,23.395,
775.5207,22.161001,
775.5247,20.401001,
775.5287,20.401001,
775.5327,19.058,
775.5367,17.226002,
775.5407,16.150002,
775.5447,14.609001,
775.5487,12.8810005,
775.5527,11.313001,
775.5577,11.313001,
775.5617,9.622001,
775.5657,7.169,
775.5697,6.1650004,
775.5727,5.2920003,
775.5767,4.532,
775.5817,3.9050002,
775.5857,3.9050002,
775.5887,3.9520001,
775.5927,3.6310003,
775.5977,3.43,
775.6017,1.9060001,
775.6057,0.275,
775.6087,-1.345,
775.6137,-2.9880002,
775.6177,-3.8230002,
775.6217,-4.635,
775.6257,-5.5790005,
775.6287,-5.5790005,
775.6327,-7.7790003,
775.6367,-7.8160005,
775.6407,-7.6200004,
775.6457,-7.616,
775.6487,-7.334,
775.6537,-7.334,
775.6577,-7.181,
775.6617,-7.2240005,
775.6647,-7.2240005,
775.6687,-7.2240005,
775.6737,-7.2240005,
775.6777,-7.142,
775.6807,-7.2730002,
775.6857,-7.8840003,
775.6887,-8.3880005,
775.6927,-8.635,
775.6958,,3.3187
775.6977,-8.635,
775.7017,-8.996,
775.7057,-9.422001,
775.7087,-10.052,
775.7137,-10.813001,
775.7167,-11.604,
775.7207,-12.023001,
775.7257,-12.540001,
775.7287,-13.577001,
775.7337,-14.305,
775.7377,-14.305,
775.7407,-15.2560005,
775.7457,-15.709001,
775.7487,-16.230001,
775.7537,-16.219,
775.7567,-16.703001,
775.7627,-18.033,
775.7657,-18.527,
775.7687,-19.207,
775.7737,-20.112001,
775.7777,-21.061,
775.7807,-21.509,
775.7857,-21.396002,
775.7887,-21.689001,
775.7927,-22.400002,
775.7967,-22.529001,
775.8017,-22.376001,
775.8057,-22.409,
775.8087,-22.278002,
775.8137,-22.152,
775.8167,-22.123001,
775.8207,-22.012001,
775.8257,-22.507002,
775.8287,-22.801,
775.8327,-23.049002,
775.8377,-23.650002,
775.8407,-23.085001,
775.8447,-23.085001,
775.8487,-23.210001,
775.8527,-23.518002,
775.8567,-23.43,
775.8627,-23.683,
775.8647,-23.662,
775.8687,-23.662,
775.8737,-23.662,
775.8767,-23.857,
775.8807,-23.857,
775.8857,-23.884,
775.8887,-24.342001,
775.8927,-24.116001,
775.8954,,3.3767
775.8967,-24.116001,
775.9017,-24.864,
775.9047,-25.159,
775.9087,-25.033,
775.9137,-24.913002,
775.9177,-24.682001,
775.9207,-24.608002,
775.9257,-24.671001,
775.9287,-24.569,
775.9327,-24.532001,
775.9377,-24.532001,
775.9407,-24.567001,
775.9457,-24.247002,
775.9487,-24.159,
775.9527,-24.256,
775.9567,-24.058,
775.9607,-23.985,
