time,ControlsOut.LowestCell,ControlsOut.VL_est,CellVoltages.MinVoltage,ControlsIn.TS_cell_low,ControlsOut.VOC,ControlsOut.Pedal,ControlsIn.TS_current,ControlsOut.TS_current,ControlsOut.TS_voltage,Energy_used kWh,ControlsOut.SoC
0.3174,3.972,3.97201,,,3.9723477,0.0,,-0.002,0.42400002,1.6372485e-12,0.8670268
0.3214,,,,3.972,,,0.004,,,,
0.3214,3.972,3.972009,,,3.9723477,0.0,,0.004,0.38200003,-5.883174e-14,0.8670268
0.3254,,,,3.972,,,0.011000001,,,,
0.3254,3.972,3.9720068,,,3.9723477,0.0,,0.011000001,0.551,-6.7865422e-12,0.8670268
0.3294,3.972,3.9720063,,,3.9723477,0.0,,0.0050000004,0.29700002,-8.4348925e-12,0.8670268
0.3294,,,,3.972,,,0.0050000004,,,,
0.3334,3.972,3.9720056,,,3.9723477,0.0,,0.006,0.38200003,-1.0979013e-11,0.8670268
0.3334,,,,3.972,,,0.006,,,,
0.3374,,,,3.972,,,-0.001,,,,
0.3374,3.972,3.9720066,,,3.9723477,0.0,,-0.001,0.29700002,-1.0649343e-11,0.8670268
0.3414,,,,3.972,,,-0.0,,,,
0.3414,3.972,3.972007,,,3.9723477,0.0,,-0.0,0.59400004,-1.0649343e-11,0.8670268
0.3454,3.972,3.9720075,,,3.9723477,0.0,,-0.0,0.42400002,-1.0649343e-11,0.8670268
0.3454,,,,3.972,,,-0.0,,,,
0.3494,3.972,3.9720082,,,3.9723477,0.0,,-0.001,0.46600002,-1.0132083e-11,0.8670268
0.3494,,,,3.972,,,-0.001,,,,
0.3534,3.972,3.9720075,,,3.9723477,0.0,,0.0050000004,0.46600002,-1.2718384e-11,0.8670268
0.3534,,,,3.972,,,0.0050000004,,,,
0.3574,3.972,3.9720058,,,3.9723477,0.0,,0.010000001,0.42400002,-1.7424786e-11,0.8670268
0.3574,,,,3.972,,,0.010000001,,,,
0.3614,3.972,3.972005,,,3.9723477,0.0,,0.008,0.127,-1.8552545e-11,0.8670268
0.3614,,,,3.972,,,0.008,,,,
0.3654,,,,3.972,,,-0.0,,,,
0.3654,3.972,3.9720056,,,3.9723477,0.0,,-0.0,0.29700002,-1.8552545e-11,0.8670268
0.3694,3.972,3.972007,,,3.9723477,0.0,,-0.003,0.42400002,-1.7140626e-11,0.8670268
0.3694,,,,3.972,,,-0.003,,,,
0.3734,3.972,3.9720075,,,3.9723477,0.0,,-0.0,0.33900002,-1.7140626e-11,0.8670268
0.3734,,,,3.972,,,-0.0,,,,
