time,CellVoltages.MinVoltage,ControlsOut.TS_current
17.2406,,9.195001
17.2446,,10.753
17.2486,,14.769001
17.2516,,14.769001
17.2566,,18.104
17.2606,,23.508001
17.2646,,24.592001
17.2686,,25.058
17.2716,,24.082
17.2766,,24.501001
17.2806,,25.162
17.2856,,25.162
17.2886,,25.162
17.2916,,22.721
17.2966,,24.513
17.3006,,24.218
17.3046,,24.647001
17.3086,,24.847002
17.3113,3.807,
17.3116,,24.847002
17.3166,,24.603
17.3206,,25.778002
17.3246,,25.677002
17.3286,,25.812
17.3326,,25.721
17.3366,,25.608002
17.3406,,25.733002
17.3446,,25.686
17.3486,,25.686
17.3516,,25.848001
17.3566,,25.626001
17.3606,,25.669
17.3646,,24.956001
17.3686,,25.386002
17.3716,,25.061
17.3766,,25.163002
17.3806,,25.810001
17.3856,,25.810001
17.3886,,25.664001
17.3926,,25.291
17.3966,,25.077002
17.4006,,25.43
17.4046,,25.053001
17.4086,,25.209002
17.4116,,25.466002
17.4166,,25.717001
17.4206,,25.536001
17.4246,,25.484001
17.4286,,25.722002
17.4326,,25.722002
17.4366,,25.704
17.4406,,25.890001
17.4446,,24.982
17.4486,,25.333002
17.4526,,26.047
17.4566,,26.399002
17.4606,,26.941002
17.4646,,26.698002
17.4686,,26.698002
17.4726,,26.423
17.4766,,26.752
17.4796,,26.769001
17.4856,,26.769001
17.4886,,26.769001
17.4926,,26.703001
17.4966,,26.490002
17.5006,,26.322
17.5046,,26.155
17.5086,,26.036001
17.5116,,26.036001
17.5135,3.8052,
17.5166,,26.036001
17.5196,,26.260002
17.5246,,26.504002
17.5286,,26.474
17.5316,,26.513
17.5366,,26.149002
17.5406,,26.12
17.5446,,26.244001
17.5486,,26.244001
17.5526,,26.819002
17.5566,,26.865002
17.5606,,26.444002
17.5646,,26.412
17.5686,,26.447
17.5726,,26.447
17.5766,,26.746002
17.5806,,26.720001
17.5856,,26.720001
17.5886,,26.819002
17.5926,,26.521002
17.5966,,26.427002
17.6006,,26.659
17.6036,,26.333002
17.6086,,25.827002
17.6116,,25.696001
17.6166,,25.161001
17.6206,,24.636002
17.6246,,23.296001
17.6286,,21.275002
17.6326,,21.275002
17.6366,,20.034
17.6406,,18.723001
17.6446,,17.335001
17.6486,,15.431001
17.6526,,13.087001
17.6566,,11.673
17.6606,,11.673
17.6646,,10.123
17.6686,,8.952001
17.6716,,8.656
17.6766,,8.3220005
17.6806,,7.6580005
17.6856,,7.6580005
17.6886,,7.6580005
17.6916,,8.278001
17.6966,,8.283
17.6996,,8.476001
17.7046,,8.529
17.7086,,8.529
17.7116,,8.525001
17.7118,3.8019,
17.7166,,8.525001
17.7206,,7.5810003
17.7246,,6.032
17.7286,,4.477
17.7316,,2.624
17.7366,,1.2830001
17.7396,,1.0250001
17.7446,,1.327
17.7486,,1.327
17.7516,,1.473
17.7566,,1.988
17.7606,,2.286
17.7646,,2.4710002
17.7686,,2.841
17.7726,,2.841
17.7766,,3.009
17.7806,,2.8030002
17.7856,,2.8170002
17.7886,,2.69
17.7926,,2.7640002
17.8006,,2.2900002
17.8046,,2.4520001
17.8086,,2.5370002
17.8126,,2.6780002
17.8166,,2.6780002
17.8206,,3.5100002
